dicot,family,genus,species,species_name,endemic to Tasmania,native to New Zealand,native to South America,"habit (s=woody, p=perennial herb, a=annual herb)",dioecious (d=dioecious; h=hermaphrodite or monoecious),"habitat (d=dry forests  woodlands and heaths; c=coastal, sm=saltmarsh; e=estuarine; wf=wet forest; b= waterlogged peats; rf=temperate rainforest; a = aquatic)",alpine (0=absent from alpine; 1= both alpine and lowland; 2= predominantly alpine),fleshy fruit (1=present),propagule length (cm),propagule width (cm),propagule traits
d,Apiaceae,Actinotus,moorei,Actinotus moorei,1,0,0,p,h,b,2,0,0.2,0.04,
d,Apiaceae,Centella,cordifolia,Centella cordifolia,0,0,0,p,h,b,0,0,0.4,0.4,
d,Apiaceae,Dichosciadium,ranunculaceum,Dichosciadium ranunculaceum,0,0,0,p,h,d,2,0,0.45,0.2,
d,Apiaceae,Diplaspis,cordifolia,Diplaspis cordifolia,1,0,0,p,h,b,1,0,0.3,0.1,
d,Apiaceae,Diplaspis,hydrocotyle,Diplaspis hydrocotyle,0,0,0,p,h,b,2,0,0.25,0.1,
d,Apiaceae,Eringium,ovinum,Eringium ovinum,0,0,1,p,h,c,0,0,0.37,0.25,
d,Apiaceae,Hydrocotyle,hirta,Hydrocotyle hirta,0,0,0,p,h,b,0,0,0.2,0.1,
d,Apiaceae,Hydrocotyle,muscosa,Hydrocotyle muscosa,0,0,0,p,h,b,0,0,0.2,0.1,
d,Apiaceae,Hydrocotyle,callicarpa,Hydrocotyle callicarpa,0,0,0,a,h,d,0,0,0.7,0.5,
d,Apiaceae,Hydrocotyle,capillaris,Hydrocotyle capillaris,0,0,0,a,h,d,0,0,0.2,0.12,
d,Apiaceae,Hydrocotyle,foveolata,Hydrocotyle foveolata,0,0,0,p,h,d,0,0,0.2,0.07,
d,Apiaceae,Hydrocotyle,laxiflora,Hydrocotyle laxiflora,0,0,0,p,h,d,0,0,0.3,0.1,
d,Apiaceae,Hydrocotyle,sibthorpoides,Hydrocotyle sibthorpoides,0,0,0,p,h,wf,1,0,0.2,0.1,
d,Apiaceae,Oreomyrrhis,ciliata,Oreomyrrhis ciliata,0,0,0,p,h,b,2,0,0.3,0.3,
d,Apiaceae,Oreomyrrhis,gunnii,Oreomyrrhis gunnii,1,0,0,p,h,b,0,0,0.5,0.45,
d,Apiaceae,Oreomyrrhis,sessiliflora,Oreomyrrhis sessiliflora,1,0,0,p,h,b,2,0,0.5,0.4,
d,Apiaceae,Oreomyrrhis,argentea,Oreomyrrhis argentea,0,0,0,p,h,d,2,0,0.4,0.3,
d,Apiaceae,Oreomyrrhis,eriopoda,Oreomyrrhis eriopoda,0,0,0,p,h,d,1,0,0.4,0.3,
d,Apiaceae,Oschatzia,saxifraga,Oschatzia saxifraga,1,0,0,p,h,b,1,0,0.4,0.3,
d,Apiaceae,Trachymene,anisocarpa,Trachymene anisocarpa,0,0,0,a,h,b,0,0,2.5,0.3,small wings
d,Apiaceae,Trachymene,humilis,Trachymene humilis,0,0,0,p,h,b,2,0,0.6,0.12,
d,Apiaceae,Xanthosia,dissecta,Xanthosia dissecta,0,0,0,s,h,b,0,0,0.3,0.1,
d,Apiaceae,Xanthosia,pusilla,Xanthosia pusilla,0,0,0,p,h,c,0,0,0.3,0.12,
d,Apiaceae,Xanthosia,tridentata,Xanthosia tridentata,0,0,0,s,h,c,0,0,0.3,0.1,
d,Apiaceae,Xanthosia,pilosa,Xanthosia pilosa,0,0,0,s,h,d,0,0,0.3,0.1,
d,Apocynaceae,Alyxia,buxifolia,Alyxia buxifolia,0,0,0,s,h,c,0,1,0.7,0.6,
d,Apocynaceae,Parsonsia,brownii,Parsonsia brownii,0,0,0,s,h,wf,0,0,,,long silky hairs
d,Araliaceae,Pseudopanax,gunnii,Pseudopanax gunnii,1,0,0,s,h,rf,0,1,0.8,0.5,
d,Asteraceae,Abrotanella,forsteroides,Abrotanella forsteroides,1,0,0,p,h,b,2,0,,,nil
d,Asteraceae,Abrotanella,scapigera,Abrotanella scapigera,1,0,0,p,h,b,2,0,,,nil
d,Asteraceae,Actites,megalocarpa,Actites megalocarpa,0,0,0,p,h,c,0,0,0.6,0.2,pappus
d,Asteraceae,Ammobium,calyceroides,Ammobium calyceroides,1,0,0,p,h,c,0,0,0.6,0.1,spines
d,Asteraceae,Angianthus,preissianus,Angianthus preissianus,0,0,0,a,h,c,0,0,0.07,0.03,nil
d,Asteraceae,Apalochlamys,spectabilis,Apalochlamys spectabilis,0,0,0,p,h,c,0,0,0.07,0.03,pappus
d,Asteraceae,Argentipallium,dealbatum,Argentipallium dealbatum,0,0,0,p,h,b,0,0,,,pappus
d,Asteraceae,Argentipallium,obtusifolium,Argentipallium obtusifolium,0,0,0,p,h,d,0,0,,,pappus
d,Asteraceae,Argentipallium,spiceri,Argentipallium spiceri,0,0,0,p,h,d,0,0,,,pappus
d,Asteraceae,Bedfordia,arborescens,Bedfordia arborescens,0,0,0,s,h,d,0,0,0.25,0.15,pappus
d,Asteraceae,Bedfordia,linearis,Bedfordia linearis,1,0,0,s,h,d,0,0,0.25,0.15,pappus
d,Asteraceae,Bedfordia,salicina,Bedfordia salicina,1,0,0,s,h,wf,0,0,0.25,0.15,pappus
d,Asteraceae,Brachyglottis,brunonis,Brachyglottis brunonis,1,0,0,s,h,wf,0,0,,,pappus
d,Asteraceae,Brachyscome,cardiocarpa,Brachyscome cardiocarpa,0,0,0,p,h,b,0,0,0.3,0.15,small wings
d,Asteraceae,Brachyscome,graminea,Brachyscome graminea,0,0,0,p,h,b,0,0,0.3,0.15,
d,Asteraceae,Brachyscome,nivalis,Brachyscome nivalis,0,0,0,p,h,b,2,0,0.3,0.15,
d,Asteraceae,Brachyscome,parvula,Brachyscome parvula,0,0,0,p,h,b,0,0,0.15,0.07,
d,Asteraceae,Brachyscome,radicans,Brachyscome radicans,0,0,0,p,h,b,1,0,0.3,0.15,
d,Asteraceae,Brachyscome,tadgelii,Brachyscome tadgelii,0,0,0,p,h,b,0,0,0.25,0.1,
d,Asteraceae,Brachyscome,aculeata,Brachyscome aculeata,0,0,0,p,h,d,0,0,0.3,0.15,
d,Asteraceae,Brachyscome,decipiens,Brachyscome decipiens,0,0,0,p,h,d,1,0,0.3,0.1,nil
d,Asteraceae,Brachyscome,diversifolia,Brachyscome diversifolia,0,0,0,p,h,d,0,0,0.3,0.15,
d,Asteraceae,Brachyscome,perpusilla,Brachyscome perpusilla,0,0,0,a,h,d,0,0,0.2,0.1,small wings
d,Asteraceae,Brachyscome,rigidula,Brachyscome rigidula,0,0,0,p,h,d,0,0,0.3,0.15,
d,Asteraceae,Brachyscome,spathulata,Brachyscome spathulata,0,0,0,p,h,d,1,0,0.3,0.15,
d,Asteraceae,Brachyscome,tenuiscapa,Brachyscome tenuiscapa,0,0,0,p,h,d,1,0,0.16,0.1,nil
d,Asteraceae,Brachyscome,angustifolia,Brachyscome angustifolia,0,0,0,p,h,d/b,1,0,0.2,0.1,
d,Asteraceae,Bracteantha,bicolor,Bracteantha bicolor,0,0,0,a,h,b,1,0,,,pappus
d,Asteraceae,Bracteantha,palustris,Bracteantha palustris,0,0,0,p,h,b,0,0,0.3,0.05,pappus
d,Asteraceae,Bracteantha,subundulata,Bracteantha subundulata,0,0,0,p,h,b,2,0,0.3,0.15,pappus
d,Asteraceae,Bracteantha,papillosa,Bracteantha papillosa,0,0,0,a,h,c,0,0,,,pappus
d,Asteraceae,Bracteantha,bracteata,Bracteantha bracteata,0,0,0,a,h,d,0,0,0.35,2,pappus
d,Asteraceae,Calocephalus,citreus,Calocephalus citreus,0,0,0,p,h,d,0,0,0.08,0.03,pappus
d,Asteraceae,Calocephalus,lacteus,Calocephalus lacteus,0,0,0,p,h,d,0,0,0.1,0.04,pappus
d,Asteraceae,Cassinea,aculeata,Cassinea aculeata,0,0,0,s,h,d,0,0,0.08,0.03,pappus
d,Asteraceae,Cassinea,trinervia,Cassinea trinervia,0,0,0,s,h,wf,0,0,0.05,0.02,pappus
d,Asteraceae,Celmisia,asteliifolia,Celmisia asteliifolia,1,0,0,p,h,b,2,0,0.6,0.1,pappus
d,Asteraceae,Celmisia,saxifraga,Celmisia saxifraga,1,0,0,p,h,b,2,0,0.4,0.08,pappus
d,Asteraceae,Chrysocephalum,apiculatum,Chrysocephalum apiculatum,0,0,0,p,h,d,0,0,,,pappus
d,Asteraceae,Chrysocephalum,semipapposum,Chrysocephalum semipapposum,0,0,0,p,h,d,0,0,,,pappus
d,Asteraceae,Cotula,vulgaris,Cotula vulgaris,0,0,0,a,h,a,0,0,0.15,0.05,nil
d,Asteraceae,Cotula,alpina,Cotula alpina,0,0,0,p,h,b,1,0,0.17,0.07,nil
d,Asteraceae,Cotula,australis,Cotula australis,0,0,0,a,h,d,0,0,0.12,0.04,nil
d,Asteraceae,Craspedia,alpina,Craspedia alpina,0,0,0,p,h,b,2,0,0.08,0.04,pappus
d,Asteraceae,Craspedia,paludicola,Craspedia paludicola,0,0,0,p,h,b,1,0,0.14,0.04,pappus
d,Asteraceae,Craspedia,coolaminica,Craspedia coolaminica,0,0,0,p,h,b/d,2,0,0.1,0.03,pappus
d,Asteraceae,Craspedia,glauca,Craspedia glauca,0,0,0,p,h,d,0,0,,,pappus
d,Asteraceae,Cymbonotus,preissianus,Cymbonotus preissianus,0,0,0,p,h,d,0,0,0.35,0.2,nil
d,Asteraceae,Erigeron,bellidioides,Erigeron bellidioides,0,0,0,p,h,b,1,0,0.5,0.08,
d,Asteraceae,Erigeron,gunnii,Erigeron gunnii,0,0,0,p,h,b,1,0,0.5,0.08,pappus
d,Asteraceae,Erigeron,pappochromus,Erigeron pappochromus,0,0,0,p,h,b,1,0,0.12,0.03,pappus
d,Asteraceae,Erigeron,stellatus,Erigeron stellatus,0,0,0,p,h,b,2,0,0.12,0.04,pappus
d,Asteraceae,Erigeron,tasmanicus,Erigeron tasmanicus,0,0,0,p,h,b,2,0,0.3,0.08,
d,Asteraceae,Erigeron,trigonus,Erigeron trigonus,1,0,0,p,h,b,2,0,0.225,0.05,
d,Asteraceae,Euchiton,argentifolius,Euchiton argentifolius,0,0,0,p,h,b,2,0,0.1,0.03,deciduous pappus
d,Asteraceae,Euchiton,fordianus,Euchiton fordianus,0,0,0,p,h,b,2,0,0.13,0.03,pappus
d,Asteraceae,Euchiton,umbricola,Euchiton umbricola,0,0,0,p,h,d,2,0,0.12,0.04,deciduous pappus
d,Asteraceae,Ewartia,catipes,Ewartia catipes,1,0,0,p,h,b,2,0,,,deciduous pappus
d,Asteraceae,Ewartia,meridithiae,Ewartia meridithiae,1,0,0,p,h,b,2,0,,,pappus
d,Asteraceae,Ewartia,planchonii,Ewartia planchonii,1,0,0,p,h,b,2,0,,,deciduous pappus
d,Asteraceae,Gnaphalium,indutum,Gnaphalium indutum,0,0,0,p,h,c,0,0,0.06,0.02,deciduous pappus
d,Asteraceae,Gnaphalium,polycaulon,Gnaphalium polycaulon,0,0,0,a,h,d,0,0,0.05,0.015,pappus
d,Asteraceae,Helichrysum,milliganii,Helichrysum milliganii,1,0,0,p,h,b,2,0,,,pappus
d,Asteraceae,Helichrysum,pumilum,Helichrysum pumilum,0,0,0,p,h,b,1,0,,,pappus
d,Asteraceae,Helichrysum,leucopsidum,Helichrysum leucopsidum,0,0,0,p,h,c,0,0,,,pappus
d,Asteraceae,Helichrysum,scorpioides,Helichrysum scorpioides,0,0,0,p,h,d,0,0,,,pappus
d,Asteraceae,Helichrysum,rutidolepis,Helichrysum rutidolepis,0,0,0,p,h,wf,1,0,,,pappus
d,Asteraceae,Hyalosperma,demissum,Hyalosperma demissum,0,0,0,a,h,d,0,0,0.07,0.02,pappus
d,Asteraceae,Isoetopsis,graminifolia,Isoetopsis graminifolia,0,0,0,p,h,d,0,0,0.2,0.1,nil
d,Asteraceae,Lagenifera,huegelii,Lagenifera huegelii,0,0,0,p,h,d,0,0,0.4,0.2,nil
d,Asteraceae,Lagenifera,stipitata,Lagenifera stipitata,0,0,0,p,h,d,1,0,0.3,0.1,nil
d,Asteraceae,Leptinella,longipes,Leptinella longipes,0,0,0,p,h,a,0,0,0.17,0.07,nil
d,Asteraceae,Leptinella,filicula,Leptinella filicula,0,0,0,p,h,b,1,0,0.17,0.05,nil
d,Asteraceae,Leptinella,reptans,Leptinella reptans,0,0,0,p,h,sm,0,0,,,nil
d,Asteraceae,Leptorhynchos,elongatus,Leptorhynchos elongatus,0,0,0,p,h,b,0,0,0.5,0.05,pappus
d,Asteraceae,Leptorhynchos,linearis,Leptorhynchos linearis,0,0,0,p,h,d,0,0,,,pappus
d,Asteraceae,Leptorhynchos,squamatus,Leptorhynchos squamatus,0,0,0,p,h,d/b,1,0,0.2,0.04,pappus
d,Asteraceae,Leucochrysum,albicans,Leucochrysum albicans,0,0,0,p,h,d,0,0,0.2,0.04,pappus
d,Asteraceae,Leucophyta,brownii,Leucophyta brownii,0,0,0,s,h,c,0,0,0.4,0.15,pappus
d,Asteraceae,Millotia,tenuifolia,Millotia tenuifolia,0,0,0,a,h,d,0,0,1,0.1,pappus
d,Asteraceae,Millotia,muelleri,Millotia muelleri,0,0,0,a,h,,0,0,,,pappus
d,Asteraceae,Odixia,achlaena,Odixia achlaena,1,0,0,s,h,d,0,0,,,nil
d,Asteraceae,Odixia,angusta,Odixia angusta,1,0,0,s,h,d,0,0,,,nil
d,Asteraceae,Olearia,floribunda,Olearia floribunda,0,0,0,s,h,b,0,0,0.15,0.05,pappus
d,Asteraceae,Olearia,glandulosa,Olearia glandulosa,0,0,0,s,h,b,0,0,0.15,0.05,pappus
d,Asteraceae,Olearia,obcordata,Olearia obcordata,1,0,0,s,h,b,1,0,0.25,0.07,pappus
d,Asteraceae,Olearia,axillaris,Olearia axillaris,0,0,0,s,h,c,0,0,0.15,0.05,pappus
d,Asteraceae,Olearia,lepidophylla,Olearia lepidophylla,0,0,0,s,h,c,0,0,0.15,0.05,pappus
d,Asteraceae,Olearia,algida,Olearia algida,0,0,0,s,h,d,1,0,0.15,0.05,pappus
d,Asteraceae,Olearia,archeri,Olearia archeri,1,0,0,s,h,d,1,0,0.4,0.08,pappus
d,Asteraceae,Olearia,ciliata,Olearia ciliata,0,0,0,s,h,d,0,0,0.15,0.05,pappus
d,Asteraceae,Olearia,ericoides,Olearia ericoides,1,0,0,s,h,d,0,0,0.15,0.05,pappus
d,Asteraceae,Olearia,erubescens,Olearia erubescens,0,0,0,s,h,d,0,0,0.4,0.12,pappus
d,Asteraceae,Olearia,glutinosa,Olearia glutinosa,0,0,0,s,h,d,0,0,0.15,0.05,pappus
d,Asteraceae,Olearia,hookeri,Olearia hookeri,1,0,0,s,h,d,0,0,0.15,0.05,pappus
d,Asteraceae,Olearia,ledifolia,Olearia ledifolia,1,0,0,s,h,d,2,0,0.3,0.2,pappus
d,Asteraceae,Olearia,myrsinoides,Olearia myrsinoides,0,0,0,s,h,d,0,0,0.35,0.1,pappus
d,Asteraceae,Olearia,phlogopappa,Olearia phlogopappa,0,0,0,s,h,d,1,0,0.25,0.07,pappus
d,Asteraceae,Olearia,pinifolia,Olearia pinifolia,1,0,0,s,h,d,1,0,0.3,0.1,pappus
d,Asteraceae,Olearia,ramulosa,Olearia ramulosa,0,0,0,s,h,d,0,0,0.15,0.03,pappus
d,Asteraceae,Olearia,tasmanica,Olearia tasmanica,1,0,0,s,h,d,2,0,0.35,0.1,pappus
d,Asteraceae,Olearia,viscosa,Olearia viscosa,0,0,0,s,h,d,0,0,0.35,0.1,pappus
d,Asteraceae,Olearia,argophylla,Olearia argophylla,0,0,0,s,h,wf,0,0,0.3,0.08,pappus
d,Asteraceae,Olearia,lirata,Olearia lirata,0,0,0,s,h,wf,0,0,0.15,0.05,pappus
d,Asteraceae,Olearia,persoonioides,Olearia persoonioides,1,0,0,s,h,wf,0,0,0.35,0.1,pappus
d,Asteraceae,Olearia,stellulata,Olearia stellulata,0,0,0,s,h,wf,0,0,0.25,0.07,pappus
d,Asteraceae,Ozothamnus,costatifructus,Ozothamnus costatifructus,1,0,0,s,h,c,0,0,,,pappus
d,Asteraceae,Ozothamnus,gunnii,Ozothamnus gunnii,1,0,0,s,h,c,0,0,,,pappus
d,Asteraceae,Ozothamnus,reticulatus,Ozothamnus reticulatus,1,0,0,s,h,c,0,0,,,pappus
d,Asteraceae,Ozothamnus,turbinatus,Ozothamnus turbinatus,0,0,0,s,h,c,0,0,,,pappus
d,Asteraceae,Ozothamnus,ericifolius,Ozothamnus ericifolius,1,0,0,s,h,d,2,0,,,pappus
d,Asteraceae,Ozothamnus,hookeri,Ozothamnus hookeri,0,0,0,s,h,d,2,0,,,pappus
d,Asteraceae,Ozothamnus,ledifolius,Ozothamnus ledifolius,1,0,0,s,h,d,2,0,,,pappus
d,Asteraceae,Ozothamnus,lycopodioides,Ozothamnus lycopodioides,1,0,0,s,h,d,0,0,,,pappus
d,Asteraceae,Ozothamnus,obcordatus,Ozothamnus obcordatus,0,0,0,s,h,d,0,0,,,pappus
d,Asteraceae,Ozothamnus,purpurascens,Ozothamnus purpurascens,1,0,0,s,h,d,0,0,,,pappus
d,Asteraceae,Ozothamnus,rodwayi,Ozothamnus rodwayi,1,0,0,s,h,d,2,0,,,pappus
d,Asteraceae,Ozothamnus,rosmarinifolius,Ozothamnus rosmarinifolius,0,0,0,s,h,d,0,0,,,pappus
d,Asteraceae,Ozothamnus,scutellifolius,Ozothamnus scutellifolius,1,0,0,s,h,d,0,0,,,pappus
d,Asteraceae,Ozothamnus,selaginioides,Ozothamnus selaginioides,1,0,0,s,h,d,0,0,,,pappus
d,Asteraceae,Ozothamnus,antennaria,Ozothamnus antennaria,1,0,0,s,h,wf,0,0,,,pappus
d,Asteraceae,Ozothamnus,argophyllus,Ozothamnus argophyllus,0,0,0,s,h,wf,0,0,,,pappus
d,Asteraceae,Ozothamnus,ferrugineus,Ozothamnus ferrugineus,0,0,0,s,h,wf,0,0,,,pappus
d,Asteraceae,Ozothamnus,thyrsioides,Ozothamnus thyrsioides,0,0,0,s,h,wf,0,0,,,pappus
d,Asteraceae,Picris,angustifolius,Picris angustifolius,0,0,0,a,h,d,0,0,,,pappus
d,Asteraceae,Podolepis,jaceoides,Podolepis jaceoides,0,0,0,p,h,d,1,0,0.25,0.05,pappus
d,Asteraceae,Pterygopappus,lawrencii,Pterygopappus lawrencii,1,0,0,p,h,b,2,0,,,nil
d,Asteraceae,Rhodanthe,anthemoides,Rhodanthe anthemoides,0,0,0,p,h,d,1,0,0.2,0.03,pappus
d,Asteraceae,Rutidopsis,multiflora,Rutidopsis multiflora,0,0,0,a,h,c,0,0,0.1,0.03,pappus
d,Asteraceae,Senecio,leptocarpus,Senecio leptocarpus,0,0,0,p,h,b,2,0,0.3,0.07,pappus
d,Asteraceae,Senecio,papillosus,Senecio papillosus,1,0,0,p,h,b,2,0,,,pappus
d,Asteraceae,Senecio,pectinatus,Senecio pectinatus,0,0,0,p,h,b,2,0,0.3,0.06,pappus
d,Asteraceae,Senecio,pinnatifolius,Senecio pinnatifolius,0,0,0,p,h,b,2,0,0.3,0.06,pappus
d,Asteraceae,Senecio,primulifolius,Senecio primulifolius,1,0,0,p,h,b,2,0,0.3,0.1,pappus
d,Asteraceae,Senecio,gunnii,Senecio gunnii,0,0,0,p,h,b/d,2,0,0.3,0.2,pappus
d,Asteraceae,Senecio,capillifolius,Senecio capillifolius,1,0,0,p,h,c,0,0,0.4,0.2,pappus
d,Asteraceae,Senecio,odoratus,Senecio odoratus,0,0,0,s,h,c,0,0,0.2,0.08,pappus
d,Asteraceae,Senecio,spathulatus,Senecio spathulatus,0,0,0,p,h,c,0,0,0.45,0.07,pappus
d,Asteraceae,Senecio,linearifolius,Senecio linearifolius,0,0,0,s,h,d,0,0,0.2,0.08,pappus
d,Asteraceae,Senecio,macrocarpus,Senecio macrocarpus,0,0,0,p,h,d,0,0,0.5,0.1,pappus
d,Asteraceae,Senecio,squarrosus,Senecio squarrosus,0,0,0,a,h,d,0,0,0.2,0.12,pappus
d,Asteraceae,Senecio,velleioides,Senecio velleioides,0,0,0,p,h,d,0,0,0.225,0.06,pappus
