spp,abbrev,Site,Seed provenance,whole_M (mg),reserve_M (mg),reserve%,sd(wholeM),n (wholeM),metadata_id,primary_source,notes
Pimelea linifolia,PimLin,hiRloP,Harvest - Sydney,1.3,0.8,58,0.5,20,32,30,
Pimelea microcephela,Pimmi,loRhiP,rh wland 6/98,7.2,,,1.1,26,31,29,
Pittosporum phylliraeoides,PitPhy,loRhiP,rh wland 6/99,27.0,,,6.4,24,32,30,
Pultenaea daphnoides,PulDap,hiRhiP,ASC - SE Tasmania,2.8,1.3,47,0.4,20,32,30,
Pultenaea flexilis,PulFle,hiRhiP,westhead 1/99,4.4,,,0.7,20,32,30,
Pultenaea flexilis,PulFle,hiRhiP,ASC - CC,5.1,2.4,48,0.6,20,32,30,
Santalum acuminatum,SanAcu,loRloP,RH mallee,537.3,372.5,69,191.3,20,31,29,
Senna artemisioides var 1lft. pair,Senar1,loRhiP,rh wland 12/97,15.8,11.0,70,1.8,20,32,30,
Senna artemisioides var. 3lft,Senar3,loRhiP,rh wland 12/97,13.9,9.6,69,1.7,20,31,29,
Spartothamnella puberula,SpaPub,loRhiP,rh wland 12/97,3.8,1.4,36,0.6,20,32,30,
Spartothamnella puberula,SpaPub,loRhiP,rh wland 6/98,2.4,1.1,48,0.5,20,32,30,
Spartothamnella puberula,SpaPub,loRhiP,rh wland 5/99,1.8,,,0.5,29,32,30,
Syncarpia glomulifera,Synglom,hiRhiP,AustraHort - Shoalhaven,0.4,0.3,76,0.1,20,32,30,
Syncarpia glomulifera,Synglom,hiRhiP,westhead 1/99,0.3,,,pooled,50,32,30,
Synoum  glandulosum,SynGlan,hiRhiP,westhead,142.8,108.3,76,33.2,20,32,30,
