Species,Replicate,Date_left_traits,leaf angle (degrees from horizontal),Leaf fresh mass (g),Leaf length (cm),Leaf width (cm),Leaf area (mm2),Specific leaf area (mm2.g-1),Leaf perimeter (mm),Leaf dry mass (g),Leaf Dry Matter Content (LDMC; dry mass / fresh mass),Date_plant_traits,Plant height (cm),Plant width (cm),Diameter of the thickest root (mm),Number of primary root axes,Tap root (yes/no),Root fresh mass (g),Root projected area (mm2),Root perimeter (mm),Root dry mass (g),Root Dry Matter Content (RDMC: dry mass / fresh mass),Specific Root Area (SRA: root surface area / dry mass) (mm2.g-1),Total root length (cm),Specific Root Length (SRL: root length/root dry weight) (cm.g-1),Root Projected Area (cm2),Root Surface Area (cm2) [winrhizo],Average root diameter (cm),Total root volume (cm3),Number of root tips,Number of root forks,fine:coarse root ratio (volume of fine root (<0.5mm diametre) / volume of coarse root (>0.5mm diametre)),Root Biomass (g) 0-10cm depth,Green shoot biomass (g),Non-green shoot biomass (g),Total shoot biomass (g),Root:Shoot ratio,leaf_mass_fraction,leaf_mass_to_stem_mass,Life form (1 = phanerophytes; 2 = chamaephytes; 3 = hemicryptophytes; 4 = geophytes; 5 = therophytes),"N-fixation (0=N, 1=Y)","Photosynthetic pathway (1=C3, 2=C4, 3=CAM,)",Specific Root Area (SRA) (m2.kg-1),Root Dry Matter Content (RDMC),B (root biomass depth distribution coefficient (Gale and Grigal 1987)),Diameter thickest root (mm),tap_root2
Aira elegantissima,3,15/10/2005,79,0.0021,2.5,0.082,12.222,40740,53.094,3e-4,0.142857143,17/10/2005,5.9,1.4,0.25,12,no,0.0083,139.13,1360.9,0.001,0.120481928,45.207,67.8443,67844,1.439,4.5207,0.0212,0.024,85,200,10.42857143,0.0015,0.0074,0.005,0.0124,0.120967742,0.5323741007194245,0.5967741935483871,NA,NA,NA,NA,NA,NA,NA,NA
Aira elegantissima,4,15/10/2005,84,0.0011,1.85,0.048,7.5412,18853,38.353,4e-4,0.363636364,17/10/2005,8.7,1.1,0.2,12,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0016,0.0059,0.004,0.0099,0.161616162,0.5130434782608695,0.5959595959595959,NA,NA,NA,NA,NA,NA,NA,NA
Aira elegantissima,5,17/10/2005,89,0.0012,1.8,0.059,9.7849,32616.33333,39.055,3e-4,0.25,17/10/2005,10,2.2,0.35,18,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0064,0.024,0.01,0.034,0.188235294,0.594059405940594,0.7058823529411764,NA,NA,NA,NA,NA,NA,NA,NA
Anagallis arvensis,1,27/10/2005,25,0.0768,4.75,0.8,168.38,15447.70642,106.33,0.0109,0.141927083,27/10/2005,10.2,18.9,1.77,1,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.038,0.384,0.301,0.685,0.055474453,0.5311203319502075,0.5605839416058394,NA,NA,NA,NA,NA,NA,NA,NA
Anagallis arvensis,2,27/10/2005,69,0.078,4.5,1.15,164.82,14208.62069,111.38,0.0116,0.148717949,27/10/2005,9.2,7.4,0.49,8,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0075,0.05,0.04,0.09,0.083333333,0.5128205128205129,0.5555555555555556,NA,NA,NA,NA,NA,NA,NA,NA
Anagallis arvensis,3,27/10/2005,79,0.0431,4.55,1.2,118.9,21232.14286,110.3,0.0056,0.129930394,27/10/2005,8.8,1.9,0.55,1,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0021,0.0116,0.0089,0.0205,0.102439024,0.5132743362831858,0.5658536585365853,NA,NA,NA,NA,NA,NA,NA,NA
Arctotheca calendula,1,9/10/2005,9,0.3024,6.4,2.2,682.34,22010.96774,263.65,0.031,0.102513228,9/10/2005,5,11.2,1.63,10,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.066,0.372,0.272,0.644,0.102484472,0.523943661971831,0.577639751552795,NA,NA,NA,NA,NA,NA,NA,NA
Arctotheca calendula,2,9/10/2005,36,0.3997,8.3,2.6,858.33,26010,286.72,0.033,0.082561921,9/10/2005,4.8,10.3,1.55,1,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.024,0.132,0.111,0.243,0.098765432,0.4943820224719101,0.54320987654321,NA,NA,NA,NA,NA,NA,NA,NA
Arctotheca calendula,3,9/10/2005,50,0.1508,5.6,1.8,391.53,17097.37991,199.06,0.0229,0.151856764,9/10/2005,9.7,19.9,1.54,8,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.188,0.759,0.506,1.265,0.148616601,0.5223675154852031,0.6000000000000001,NA,NA,NA,NA,NA,NA,NA,NA
Aristida ramosa,1,10/11/2005,66,0.0478,12.1,0.258,133.61,7032.105263,251.26,0.019,0.39748954,5/12/2005,34.2,26.5,1.17,111,no,0.0293,167.1,814.45,0.0097,0.33105802,5.403195876,38.637,3983,1.6683,5.2411,0.0432,0.057,79,91,0.451282051,2.552,0.557,4.515,5.072,0.503154574,0.07305876180482686,0.10981861198738171,NA,NA,NA,NA,NA,NA,NA,NA
Aristida ramosa,2,10/11/2005,48,0.0289,7.8,0.227,104.76,8730,169.4,0.012,0.415224913,5/12/2005,39.9,47.5,0.77,132,no,0.0224,186.38,1083.7,0.0058,0.258928571,10.14224138,51.7783,8927,1.8725,5.8825,0.0362,0.053,105,147,0.721682848,1.741,0.506,11.566,12.072,0.144218025,0.03663215811192355,0.041915175612988735,NA,NA,NA,NA,NA,NA,NA,NA
Aristida ramosa,3,10/11/2005,74,0.0501,12.8,0.276,237.81,11772.77228,281.35,0.0202,0.403193613,13/12/2005,32.5,52.5,1.24,118,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.083,1.151,23.388,24.539,0.207139655,0.03885625548578759,0.046904926851134926,NA,NA,NA,NA,NA,NA,NA,NA
Aristida ramosa,4,28/11/2005,59,0.0389,10.85,0.214,165.49,9909.580838,228.73,0.0167,0.429305913,13/12/2005,29.5,36.4,0.9,73,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.362,0.506,6.751,7.257,0.18768086,0.05870750667130758,0.06972578200358275,NA,NA,NA,NA,NA,NA,NA,NA
Aristida ramosa,5,28/11/2005,59,0.0281,10.8,0.178,116.24,9527.868852,227.03,0.0122,0.434163701,13/12/2005,22,35,0.89,32,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49,0.246,3.113,3.359,0.145876749,0.06391270459859703,0.0732360821673117,NA,NA,NA,NA,NA,NA,NA,NA
Asperula conferta,1,24/10/2005,36,9e-4,0.5,0.11,4.3154,14384.66667,10.929,3e-4,0.333333333,24/10/2005,7.4,2.3,0.76,1,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0113,0.057,0.0265,0.0835,0.135329341,0.6012658227848101,0.6826347305389221,NA,NA,NA,NA,NA,NA,NA,NA
Asperula conferta,2,24/10/2005,28,9e-4,0.536,0.089,4.086,20430,11.463,2e-4,0.222222222,24/10/2005,7.7,1.3,0.93,1,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.043,0.025,0.0172,0.0422,1.018957346,0.2934272300469484,0.5924170616113744,NA,NA,NA,NA,NA,NA,NA,NA
Asperula conferta,3,24/10/2005,18,0.001,0.414,0.119,4.3226,21613,9.8364,2e-4,0.2,24/10/2005,6.4,2.9,1.83,1,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.028,0.0654,0.0195,0.0849,0.329799764,0.579273693534101,0.7703180212014133,NA,NA,NA,NA,NA,NA,NA,NA
Austrodanthonia caespitosa,1,20/09/2005,NA,0.0421,9.6,0.3,208.49,14087.16216,200.54,0.0148,0.351543943,20/09/2005,9.5,25.2,1.1,91,no,0.0076,125.94,988.62,0.0027,0.355263158,14.52666667,45.8045,16965,1.2485,3.9222,0.0273,0.027,127,140,5.512195122,2.496,1.551,1.09,2.641,0.945096554,0.30192719486081365,0.5872775463839455,NA,NA,NA,NA,NA,NA,NA,NA
Austrodanthonia caespitosa,2,20/09/2005,NA,0.012,4.6,0.15,76.236,16941.33333,105.29,0.0045,0.375,20/09/2005,5.7,9.7,0.88,87,no,0.0176,184.07,1303.6,0.0044,0.25,13.29909091,62.9586,14309,1.8626,5.8516,0.0296,0.043,188,287,1.186868687,1.093,0.292,0.67,0.962,1.136174636,0.14209245742092458,0.30353430353430355,NA,NA,NA,NA,NA,NA,NA,NA
Austrodanthonia caespitosa,3,20/09/2005,NA,0.0181,5.9,0.235,118.97,16756.33803,129.33,0.0071,0.392265193,20/09/2005,8.8,16.5,1.38,107,no,0.0198,249.14,2040.9,0.0048,0.242424242,16.68083333,98.1385,20446,2.5486,8.0068,0.026,0.052,300,446,1.179916318,1.497,0.489,1.3,1.789,0.836780324,0.14881314668289713,0.2733370598099497,NA,NA,NA,NA,NA,NA,NA,NA
Austrodanthonia caespitosa,4,28/09/2005,56,0.0272,6.7,0.221,115.91,12463.44086,144.72,0.0093,0.341911765,21/09/2005,5.4,16.7,1.27,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.699,0.553,1.546,2.099,0.809433063,0.14560294892048448,0.26345878989995236,NA,NA,NA,NA,NA,NA,NA,NA
Austrodanthonia caespitosa,5,21/09/2005,NA,0.0553,10.9,0.341,248.57,13221.80851,237.57,0.0188,0.339963834,21/09/2005,7.5,20.7,0.79,96,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.201,0.88,2.261,3.141,0.700732251,0.16473230999625607,0.2801655523718561,NA,NA,NA,NA,NA,NA,NA,NA
Austrodanthonia caespitosa,6,9/10/2005,71,0.0212,9.5,0.16,78.494,9811.75,203.37,0.008,0.377358491,9/10/2005,11.9,21.9,0.75,143,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.687,1.189,1.566,2.755,0.612341198,0.2676722197208465,0.4315789473684211,NA,NA,NA,NA,NA,NA,NA,NA
Austrodanthonia caespitosa,7,9/10/2005,67,0.0435,11.6,0.162,113.58,6565.317919,251.83,0.0173,0.397701149,9/10/2005,12.9,15.9,0.88,136,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.461,1.196,1.772,2.968,0.829177898,0.2202983974949346,0.4029649595687331,NA,NA,NA,NA,NA,NA,NA,NA
Austrodanthonia caespitosa,8,10/10/2005,81,0.0307,11,0.141,93.971,8100.948276,228.7,0.0116,0.377850163,10/10/2005,16.7,20.9,1.19,180,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.764,2.249,5.041,7.29,0.516323731,0.20345576261986612,0.3085048010973937,NA,NA,NA,NA,NA,NA,NA,NA
Austrodanthonia caespitosa,9,10/10/2005,47,0.0236,11.5,0.105,87.477,9112.1875,244.96,0.0096,0.406779661,10/10/2005,14.9,18.1,0.93,184,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.422,0.892,2.742,3.634,0.94166208,0.1264172335600907,0.24545954870665934,NA,NA,NA,NA,NA,NA,NA,NA
Austrodanthonia carphoides,1,28/09/2005,41,0.0116,5.8,0.144,47.986,10905.90909,122.92,0.0044,0.379310345,28/09/2005,7.5,10.2,0.85,60,no,0.0221,167.59,1058,0.0054,0.244343891,9.930925926,50.9145,9429,1.707,5.3627,0.0335,0.045,116,190,0.781746032,0.424,0.176,0.278,0.454,0.933920705,0.20045558086560364,0.3876651982378854,NA,NA,NA,NA,NA,NA,NA,NA
Austrodanthonia carphoides,2,28/09/2005,22,0.007,4.9,0.098,27.871,11612.91667,100.88,0.0024,0.342857143,28/09/2005,5.2,10.3,1.04,63,no,0.0266,204.18,1312.5,0.0069,0.259398496,9.357391304,62.5494,9065,2.0552,6.4566,0.0329,0.053,123,161,1.015209125,0.56,0.259,0.701,0.96,0.583333333,0.17039473684210527,0.2697916666666667,NA,NA,NA,NA,NA,NA,NA,NA
Austrodanthonia carphoides,3,30/09/2005,64,0.0099,5,0.124,35.52,9347.368421,105.57,0.0038,0.383838384,30/09/2005,7.3,14.2,0.81,77,no,0.0193,189.81,1243.6,0.0066,0.341968912,9.172121212,60.6685,9192,1.9269,6.0536,0.0318,0.048,111,190,1.05982906,1.26,0.349,0.851,1.2,1.05,0.141869918699187,0.29083333333333333,NA,NA,NA,NA,NA,NA,NA,NA
Austrodanthonia carphoides,4,30/09/2005,28,0.0062,3.4,0.147,26.724,10278.46154,70.283,0.0026,0.419354839,30/09/2005,5.4,11.6,0.86,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.786,0.207,0.185,0.392,2.005102041,0.17572156196943972,0.5280612244897959,NA,NA,NA,NA,NA,NA,NA,NA
Austrodanthonia carphoides,5,30/09/2005,71,0.0076,3.5,0.156,29.133,8568.529412,76.518,0.0034,0.447368421,30/09/2005,6.4,9.9,0.77,102,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.785,0.217,0.423,0.64,1.2265625,0.15228070175438596,0.3390625,NA,NA,NA,NA,NA,NA,NA,NA
Avena barbata,1,13/10/2005,79,0.0697,7.5,0.7,349.85,16196.75926,158.89,0.0216,0.30989957,21/10/2005,24.8,3.5,0.64,12,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0514,0.147,0.087,0.234,0.21965812,0.5150665732305536,0.6282051282051281,NA,NA,NA,NA,NA,NA,NA,NA
Avena barbata,2,17/10/2005,66,0.0433,5.9,0.7,253.06,22798.1982,20.806,0.0111,0.256351039,27/10/2005,13.4,2.5,0.66,8,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0181,0.0302,0.1248,0.155,0.116774194,0.17446562680531486,0.19483870967741937,NA,NA,NA,NA,NA,NA,NA,NA
Avena barbata,3,21/10/2005,51,0.0471,7.1,0.5,258.02,22833.62832,33.332,0.0113,0.239915074,28/10/2005,28.7,2.8,0.94,9,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.039,0.0252,0.2175,0.2427,0.160692213,0.08945686900958466,0.103831891223733,NA,NA,NA,NA,NA,NA,NA,NA
Bothriochloa macra,1,21/10/2005,31,0.0189,4.7,0.377,132.46,26492,98.968,0.005,0.264550265,5/12/2005,15.9,43.5,0.74,110,no,0.0214,168.33,943.28,0.0076,0.355140187,7.061052632,47.2114,6212,1.7082,5.3664,0.0362,0.049,115,185,0.725978648,2.232,1.2,2.634,3.834,0.582159624,0.1978239366963402,0.31298904538341155,NA,NA,NA,NA,NA,NA,NA,NA
Bothriochloa macra,2,5/12/2005,82,0.0306,7.3,0.388,214.21,20597.11538,150.84,0.0104,0.339869281,13/12/2005,18.2,33.2,0.84,26,no,0.0259,280.8,1971,0.0086,0.332046332,10.33965116,92.1958,10720,2.8304,8.8921,0.0307,0.068,257,354,1.124223602,1.36,1.024,4.784,5.808,0.23415978,0.14285714285714285,0.1763085399449036,NA,NA,NA,NA,NA,NA,NA,NA
Bothriochloa macra,3,5/12/2005,32,0.0266,7.2,0.408,208.29,22640.21739,151.09,0.0092,0.345864662,13/12/2005,9.4,20.2,0.85,39,no,0.0339,321.93,2157,0.0076,0.224188791,13.56434211,106.2298,13978,3.2814,10.3089,0.0309,0.08,295,510,1.926470588,0.669,0.482,0.64,1.122,0.596256684,0.2691233947515354,0.42959001782531187,NA,NA,NA,NA,NA,NA,NA,NA
Bothriochloa macra,4,5/12/2005,28,0.0358,8.4,0.442,275.56,22773.55372,177.72,0.0121,0.337988827,13/12/2005,18.7,21.8,1.04,20,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68,0.381,1.251,1.632,0.416666667,0.16479238754325262,0.2334558823529412,NA,NA,NA,NA,NA,NA,NA,NA
Bothriochloa macra,5,5/12/2005,25,0.0309,6.9,0.398,225.13,20845.37037,147.78,0.0108,0.349514563,13/12/2005,28,21.2,1.14,52,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.396,0.656,3.145,3.801,0.367271771,0.12622666923224937,0.17258616153643777,NA,NA,NA,NA,NA,NA,NA,NA
Briza maxima,1,6/11/2005,67,0.0593,8.5,0.7,396.87,28758.69565,182.7,0.0138,0.232715008,6/11/2005,25.6,3.8,0.47,9,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0079,0.0189,0.0745,0.0934,0.084582441,0.18657453109575517,0.20235546038543897,NA,NA,NA,NA,NA,NA,NA,NA
Briza maxima,2,6/11/2005,73,0.0253,5.6,0.45,180.01,29033.87097,119.91,0.0062,0.245059289,6/11/2005,23,5,0.48,14,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0115,0.0322,0.0884,0.1206,0.095356551,0.2437547312641938,0.2669983416252073,NA,NA,NA,NA,NA,NA,NA,NA
Briza maxima,3,6/11/2005,81,0.0282,5.15,0.5,188.26,30862.29508,109.78,0.0061,0.216312057,6/11/2005,20.9,1.4,0.76,12,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0137,0.0196,0.0815,0.1011,0.135509397,0.17073170731707316,0.19386745796241345,NA,NA,NA,NA,NA,NA,NA,NA
Briza minor,1,13/10/2005,76,0.0104,4.2,0.289,97.512,42396.52174,90.404,0.0023,0.221153846,21/10/2005,7.2,2.7,0.31,14,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0059,0.0025,0.0126,0.0151,0.390728477,0.11904761904761904,0.16556291390728475,NA,NA,NA,NA,NA,NA,NA,NA
Briza minor,2,13/10/2005,66,0.0284,4,0.57,160.47,27198.30508,95.958,0.0059,0.207746479,21/10/2005,9.9,1,0.34,17,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0046,0.0105,0.0161,0.0266,0.172932331,0.33653846153846156,0.3947368421052632,NA,NA,NA,NA,NA,NA,NA,NA
Briza minor,3,15/10/2005,82,0.0019,1.8,0.142,16.323,54410,37.17,3e-4,0.157894737,24/10/2005,10.9,1.8,0.29,33,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0095,0.0209,0.0232,0.0441,0.215419501,0.3899253731343283,0.473922902494331,NA,NA,NA,NA,NA,NA,NA,NA
Briza minor,4,15/10/2005,81,0.0144,4.2,0.392,121.96,36957.57576,90.474,0.0033,0.229166667,24/10/2005,7.5,1.5,0.19,9,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0039,0.0062,0.0069,0.0131,0.297709924,0.36470588235294116,0.47328244274809156,NA,NA,NA,NA,NA,NA,NA,NA
Briza minor,5,17/10/2005,53,0.0022,1.6,0.19,22.889,57222.5,34.075,4e-4,0.181818182,27/10/2005,8.1,2.8,0.29,10,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0019,0.0036,0.0191,0.0227,0.083700441,0.14634146341463414,0.15859030837004404,NA,NA,NA,NA,NA,NA,NA,NA
Bromus hordeaceus,1,13/10/2005,85,0.0083,2.75,0.282,60.115,31639.47368,57.58,0.0019,0.228915663,21/10/2005,10.8,0.8,0.42,6,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bromus hordeaceus,2,27/10/2005,74,0.0834,8.9,0.8,495.95,23616.66667,193.05,0.021,0.251798561,27/10/2005,12.5,2.2,0.37,6,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bromus hordeaceus,3,6/11/2005,87,0.0045,2.3,0.212,36.667,30555.83333,48.592,0.0012,0.266666667,28/10/2005,11.8,1.1,0.34,5,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bromus hordeaceus,4,6/11/2005,77,0.0082,3.35,0.238,62.552,32922.10526,70.511,0.0019,0.231707317,6/11/2005,16.2,1.4,0.37,8,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bromus hordeaceus,5,6/11/2005,80,0.0062,2.4,0.269,51.061,36472.14286,52.707,0.0014,0.225806452,6/11/2005,12.1,0.7,0.43,10,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
