Species,VT,MAP (mm),MAT (°C),AI,Dave (kPa),Dmax (kPa),RWC0 (RWC),RWCcrit (RWC),VW (g),Lm (m2),gmin (mmol m-2 s-1),D (kPa),stemP50 (MPa),stemP88 (MPa),leafP50 (MPa),leafP88 (MPa),water potential at stomatal closure (MPa),the stomatal-hydraulic safety margin (SHSM; stem P50 - gs90 (MPa),branch capacitance (Cbranch) (mol kg-1 MPa-1),TLP (MPa),SLA (m2/kg),rep,SWC,Po (MPa),YTLP (MPa),RWCTLP ,AWF,e (MPa),slope1 (MPa-1),slope2 (MPa-1)
Eucalyptus blakelyi,,,,,,,,,,,,,,,,,,,,,,3,1.319816067,-1.951924165,-2.278718097,87.89354793,15.58230209,19.05791492,0.046212969,0.247986221
Eucalyptus blakelyi,,,,,,,,,,,,,,,,,,,,,,4,1.555879107,-1.548144182,-1.924780257,79.19849213,-6.305089604,9.015284833,0.093805739,0.400279336
Eucalyptus grandis,,,,,,,,,,,,,,,,,,,,,,1,1.79632814,-1.531468068,-1.928859626,85.1719917,28.02779531,11.2038717,0.071943164,0.215627117
Eucalyptus grandis,,,,,,,,,,,,,,,,,,,,,,2,1.129859997,-1.734421235,-2.025290144,85.99397,2.477461204,14.25171663,0.06142109,0.319614129
Eucalyptus grandis,,,,,,,,,,,,,,,,,,,,,,3,1.952224432,-1.484193885,-1.903863033,84.56669479,29.98556277,11.1427659,0.072528933,0.216497422
Eucalyptus sideroxylon,,,,,,,,,,,,,,,,,,,,,,1,1.756187158,-1.972349211,-2.350888864,84.07528378,1.100881512,15.21503158,0.057232712,0.299774422
Eucalyptus sideroxylon,,,,,,,,,,,,,,,,,,,,,,2,1.595221808,-1.842081569,-2.19830868,89.75911016,36.80257257,18.44031939,0.045704931,0.204994293
Eucalyptus sideroxylon,,,,,,,,,,,,,,,,,,,,,,3,1.636539749,-1.874345601,-2.150350601,88.21865367,8.211716546,15.84472383,0.054936014,0.287017525
Eucalyptus sideroxylon,,,,,,,,,,,,,,,,,,,,,,4,2.371487063,-1.775495173,-2.141017482,76.53698269,-37.43273382,9.498257304,0.091355771,0.437450721
Eucalyptus viminalis,,,,,,,,,,,,,,,,,,,,,,1,2.312324206,-1.31990257,-1.551286977,87.17552347,14.01994789,11.82651005,0.073621535,0.330755923
Eucalyptus viminalis,,,,,,,,,,,,,,,,,,,,,,2,2.355637545,-1.288547756,-1.638181482,84.86626625,29.09207406,9.6972324,0.083339432,0.256611876
Eucalyptus viminalis,,,,,,,,,,,,,,,,,,,,,,3,2.135485166,-1.433968613,-1.707327894,87.2622297,20.44334328,12.18287134,0.069918601,0.23636412
Eucalyptus viminalis,,,,,,,,,,,,,,,,,,,,,,4,2.20565913,-1.326934931,-1.656014915,84.1818167,20.39884295,9.779020755,0.084759574,0.282347154
Eucalyptus melliodora,,,,,,,,,,,,,,,,,,,,,,1,2.172708974,-1.697068948,-2.011730846,84.63064692,1.738971786,12.89751081,0.067207175,0.343551401
Eucalyptus melliodora,,,,,,,,,,,,,,,,,,,,,,2,1.753506292,-1.928874769,-2.269979196,89.25387433,28.48676317,18.2531095,0.046708441,0.215399206
Eucalyptus melliodora,,,,,,,,,,,,,,,,,,,,,,3,1.493306073,-2.066095802,-2.622954376,86.42766534,36.07063578,17.26676963,0.04708011,0.163590647
Eucalyptus melliodora,,,,,,,,,,,,,,,,,,,,,,4,1.851103714,-1.922007693,-2.349241401,86.63598568,26.51493746,15.45431241,0.053709523,0.215981221
Eucalyptus populnea,,,,,,,,,,,,,,,,,,,,,,1,2.061299832,-1.997292548,-2.407463558,89.3415969,37.44141724,19.98420556,0.04205149,0.154340753
Eucalyptus populnea,,,,,,,,,,,,,,,,,,,,,,2,2.147962105,-1.841826312,-2.193747104,87.68970653,23.26207685,18.02732261,0.048194573,0.197560645
Eucalyptus populnea,,,,,,,,,,,,,,,,,,,,,,3,2.031811757,-1.990172239,-2.350438889,87.51355232,18.53636124,18.85920373,0.046252244,0.219982778
Eucalyptus largiflorens,,,,,,,,,,,,,,,,,,,,,,1,1.72691525,-2.036867067,-2.547775184,85.72003101,28.78924913,16.66749939,0.04977144,0.171629571
Eucalyptus largiflorens,,,,,,,,,,,,,,,,,,,,,,2,1.723206057,-2.005088161,-2.400727679,87.98556045,27.09677318,18.61048645,0.04576273,0.148161626
Eucalyptus largiflorens,,,,,,,,,,,,,,,,,,,,,,3,1.964621968,-2.028410267,-2.515613768,85.60701384,25.6836331,16.93834515,0.049582629,0.177714578
Eucalyptus machroryncha,,,,,,,,,,,,,,,,,,,,,,2,2.068234834,-1.625157509,-2.040717717,84.59512947,24.35033094,12.04853189,0.068294914,0.198756114
Eucalyptus machroryncha,,,,,,,,,,,,,,,,,,,,,,3,2.233783378,-1.545149072,-1.797589468,89.00784237,21.72652578,14.6487623,0.058931598,0.233171267
Eucalyptus machroryncha,,,,,,,,,,,,,,,,,,,,,,4,2.424540679,-1.57020685,-1.966985626,83.22080432,16.81904707,10.71403739,0.076770439,0.218558114
Eucalyptus machroryncha,,,,,,,,,,,,,,,,,,,,,,5,2.421550812,-1.742066808,-2.176329283,82.48929316,12.24416976,12.39818249,0.068082547,0.220349586
Eucalyptus machroryncha,,,,,,,,,,,,,,,,,,,,,,6,2.441880949,-1.555890883,-1.859910533,85.59772157,11.89073042,12.2341007,0.070015256,0.156438452
